Date,Time,AP1,AP2,AP3,AP4,AP5,AV1,AV2,AV3,AV4,AV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5
20122018,08:30:00:000000,284.08,284.09,284.1,284.11,284.12,100,1,900,800,800,284.05,284.04,284.03,284.02,284.01,1,200,1,100,300
20122018,08:30:01:000000,284.1,284.11,284.12,284.13,284.14,1,400,1,300,300,284.07,284.06,284.05,284.04,284.03,1,225,900,300,800
20122018,08:30:02:000000,284.14,284.15,284.16,284.17,284.18,900,1,900,300,425,284.11,284.1,284.09,284.08,284.07,925,900,825,300,925
20122018,08:30:03:000000,284.15,284.16,284.17,284.18,284.19,500,1,900,425,500,284.12,284.11,284.1,284.09,284.08,1,225,1,25,425
20122018,08:30:04:000000,284.17,284.18,284.19,284.2,284.21,1,100,1,500,600,284.15,284.14,284.13,284.12,284.11,100,1,100,625,425
20122018,08:30:05:000000,284.21,284.22,284.23,284.24,284.25,900,1,400,300,300,284.18,284.17,284.16,284.15,284.14,200,1,100,700,300
20122018,08:30:06:000000,284.18,284.19,284.2,284.21,284.22,1,300,1,500,200,284.16,284.15,284.14,284.13,284.12,100,900,900,425,925
20122018,08:30:07:000000,284.17,284.18,284.19,284.2,284.21,100,1,500,1,600,284.16,284.15,284.14,284.13,284.12,200,900,1,100,425
20122018,08:30:08:000000,284.2,284.21,284.22,284.23,284.24,1,400,1,600,300,284.18,284.17,284.16,284.15,284.14,100,500,1,100,300
20122018,08:30:09:000000,284.22,284.23,284.24,284.25,284.26,1,500,1,600,300,284.2,284.19,284.18,284.17,284.16,100,900,600,300,800
20122018,08:30:10:000000,284.26,284.27,284.28,284.29,284.3,500,1,900,300,300,284.24,284.23,284.22,284.21,284.2,100,800,1,100,300
20122018,08:30:11:000000,284.31,284.32,284.33,284.34,284.35,1,100,1,300,200,284.29,284.28,284.27,284.26,284.25,400,925,700,425,800
20122018,08:30:12:000000,284.39,284.4,284.41,284.42,284.43,1,100,1,300,200,284.36,284.35,284.34,284.33,284.32,100,1,200,1,100
20122018,08:30:13:000000,284.37,284.38,284.39,284.4,284.41,900,300,1,100,1,284.35,284.34,284.33,284.32,284.31,200,1,100,600,800
20122018,08:30:14:000000,284.37,284.38,284.39,284.4,284.41,1,100,1,600,500,284.34,284.33,284.32,284.31,284.3,100,1,100,1,100
20122018,08:30:15:000000,284.4,284.41,284.42,284.43,284.44,900,900,800,800,300,284.37,284.36,284.35,284.34,284.33,100,1,100,1,200
20122018,08:30:16:000000,284.37,284.38,284.39,284.4,284.41,900,100,1,800,800,284.35,284.34,284.33,284.32,284.31,100,900,1,100,300
20122018,08:30:17:000000,284.37,284.38,284.39,284.4,284.41,1,100,1,800,300,284.35,284.34,284.33,284.32,284.31,100,1,100,1,100
20122018,08:30:18:000000,284.34,284.35,284.36,284.37,284.38,100,900,600,800,300,284.32,284.31,284.3,284.29,284.28,200,1,100,1,500
