Date,Time,AP1,AP2,AP3,AP4,AP5,AV1,AV2,AV3,AV4,AV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5
20122018,08:30:00:000000,119.75,119.77,119.78,119.79,119.81,200,177,99,200,292,119.7,119.69,119.68,119.67,119.66,37,200,194,14,100
20122018,08:30:01:000000,119.75,119.77,119.78,119.79,119.81,200,177,99,200,292,119.7,119.69,119.68,119.67,119.65,37,200,194,14,97
20122018,08:30:02:000000,119.75,119.77,119.78,119.79,119.81,200,177,99,200,292,119.7,119.69,119.68,119.67,119.65,37,200,194,14,97
20122018,08:30:03:000000,119.77,119.78,119.79,119.81,119.84,177,99,200,292,98,119.72,119.71,119.7,119.69,119.68,200,93,137,200,194
20122018,08:30:04:000000,119.77,119.78,119.79,119.81,119.84,177,99,200,292,98,119.72,119.71,119.7,119.69,119.68,200,93,137,200,194
20122018,08:30:05:000000,119.77,119.79,119.81,119.84,119.86,177,200,292,98,200,119.72,119.71,119.7,119.69,119.68,200,93,37,200,194
20122018,08:30:06:000000,119.79,119.81,119.84,119.86,119.87,100,292,98,200,98,119.75,119.74,119.72,119.71,119.7,200,93,200,93,37
20122018,08:30:07:000000,119.79,119.81,119.84,119.86,119.87,100,292,98,200,98,119.75,119.74,119.72,119.71,119.7,200,93,200,93,37
20122018,08:30:08:000000,119.76,119.78,119.79,119.81,119.83,200,293,100,292,600,119.72,119.7,119.68,119.65,119.64,300,37,194,97,290
20122018,08:30:09:000000,119.76,119.78,119.79,119.81,119.83,200,293,100,292,600,119.72,119.7,119.68,119.65,119.64,300,37,194,97,290
20122018,08:30:10:000000,119.76,119.78,119.79,119.81,119.83,60,293,100,292,600,119.72,119.71,119.7,119.68,119.67,300,93,37,194,100
20122018,08:30:11:000000,119.76,119.78,119.79,119.81,119.83,60,293,100,292,600,119.73,119.72,119.7,119.68,119.67,100,200,37,194,100
20122018,08:30:12:000000,119.76,119.78,119.79,119.81,119.83,60,293,100,292,600,119.73,119.72,119.7,119.68,119.67,100,200,37,194,100
20122018,08:30:13:000000,119.74,119.75,119.76,119.78,119.81,300,196,60,293,292,119.69,119.68,119.67,119.65,119.64,200,194,100,97,190
20122018,08:30:14:000000,119.74,119.75,119.76,119.78,119.81,300,196,60,293,292,119.69,119.68,119.67,119.65,119.64,200,194,100,97,190
20122018,08:30:15:000000,119.72,119.73,119.74,119.75,119.76,200,100,300,96,60,119.68,119.67,119.65,119.64,119.63,194,100,97,190,100
20122018,08:30:16:000000,119.73,119.74,119.75,119.76,119.78,200,200,96,60,293,119.7,119.68,119.67,119.65,119.64,106,194,100,97,190
20122018,08:30:17:000000,119.72,119.73,119.74,119.75,119.76,200,100,200,96,60,119.66,119.65,119.64,119.63,119.62,200,96,190,100,105
20122018,08:30:18:000000,119.72,119.73,119.74,119.75,119.76,200,100,200,96,60,119.66,119.65,119.64,119.63,119.62,200,96,190,100,105
20122018,08:30:19:000000,119.72,119.73,119.74,119.75,119.76,200,100,200,96,60,119.68,119.66,119.65,119.64,119.63,200,200,96,190,100
20122018,08:30:20:000000,119.72,119.73,119.74,119.75,119.76,200,100,200,96,60,119.68,119.66,119.65,119.64,119.63,200,200,96,190,100
20122018,08:30:21:000000,119.7,119.72,119.74,119.75,119.76,200,296,200,96,60,119.65,119.64,119.63,119.62,119.59,84,190,100,105,99
20122018,08:30:22:000000,119.7,119.72,119.74,119.75,119.76,200,296,200,96,60,119.65,119.64,119.62,119.59,119.58,84,190,105,99,200
20122018,08:30:23:000000,119.7,119.72,119.74,119.75,119.76,200,296,200,96,60,119.65,119.64,119.62,119.59,119.58,84,190,105,99,200
20122018,08:30:24:000000,119.7,119.72,119.74,119.75,119.76,200,296,200,96,60,119.65,119.64,119.62,119.59,119.58,84,190,105,99,200
20122018,08:30:25:000000,119.7,119.72,119.74,119.75,119.76,200,296,200,96,60,119.65,119.64,119.62,119.59,119.58,84,190,105,99,200
20122018,08:30:26:000000,119.7,119.72,119.74,119.75,119.76,100,296,200,96,60,119.66,119.65,119.64,119.62,119.6,200,100,190,105,400
20122018,08:30:27:000000,119.7,119.72,119.74,119.75,119.76,100,296,200,96,60,119.66,119.65,119.64,119.62,119.6,200,100,190,105,400
20122018,08:30:28:000000,119.7,119.72,119.74,119.75,119.76,100,296,200,96,60,119.65,119.64,119.62,119.6,119.59,100,190,105,600,99
20122018,08:30:29:000000,119.68,119.7,119.72,119.75,119.76,200,100,296,96,60,119.65,119.64,119.62,119.61,119.59,1,100,105,300,99
20122018,08:30:30:000000,119.68,119.7,119.72,119.75,119.76,200,100,296,96,60,119.65,119.64,119.62,119.61,119.59,1,100,105,300,99
20122018,08:30:31:000000,119.66,119.69,119.7,119.72,119.75,200,100,100,296,96,119.62,119.61,119.6,119.59,119.58,5,200,100,99,200
20122018,08:30:32:000000,119.66,119.69,119.7,119.72,119.75,200,100,100,296,96,119.62,119.61,119.6,119.59,119.58,5,200,100,99,200
20122018,08:30:33:000000,119.65,119.67,119.69,119.7,119.72,200,200,100,100,296,119.62,119.61,119.6,119.59,119.58,105,200,100,99,200
20122018,08:30:34:000000,119.67,119.69,119.7,119.72,119.75,100,194,100,296,96,119.62,119.61,119.6,119.59,119.58,199,200,100,99,200
20122018,08:30:35:000000,119.67,119.69,119.7,119.72,119.75,100,194,100,296,96,119.62,119.61,119.6,119.59,119.58,199,200,100,99,200
20122018,08:30:36:000000,119.67,119.69,119.7,119.72,119.75,100,94,100,296,96,119.63,119.62,119.61,119.6,119.59,6,199,200,100,99
20122018,08:30:37:000000,119.67,119.69,119.7,119.72,119.75,100,94,100,296,96,119.63,119.62,119.61,119.6,119.59,6,199,200,100,99
20122018,08:30:38:000000,119.67,119.69,119.7,119.72,119.75,100,94,100,296,96,119.63,119.62,119.61,119.6,119.59,6,199,200,100,99
20122018,08:30:39:000000,119.67,119.69,119.7,119.72,119.75,200,94,100,296,96,119.63,119.62,119.61,119.6,119.59,200,199,200,100,99
20122018,08:30:40:000000,119.67,119.69,119.7,119.72,119.75,200,94,100,296,96,119.63,119.62,119.61,119.6,119.59,200,199,200,100,99
20122018,08:30:41:000000,119.68,119.69,119.7,119.72,119.75,200,97,100,296,96,119.64,119.63,119.62,119.61,119.6,100,200,199,200,100
20122018,08:30:42:000000,119.68,119.69,119.7,119.72,119.75,200,97,100,296,96,119.64,119.63,119.62,119.61,119.6,100,200,199,200,100
20122018,08:30:43:000000,119.68,119.7,119.72,119.75,119.76,178,100,296,96,60,119.64,119.63,119.62,119.61,119.6,100,200,199,200,100
20122018,08:30:44:000000,119.66,119.68,119.69,119.7,119.72,200,178,97,100,296,119.62,119.61,119.6,119.59,119.58,105,200,100,99,218
20122018,08:30:45:000000,119.66,119.68,119.69,119.7,119.72,200,178,97,100,296,119.62,119.61,119.6,119.59,119.58,105,200,100,99,218
20122018,08:30:46:000000,119.68,119.69,119.7,119.72,119.75,178,97,100,296,96,119.63,119.62,119.61,119.6,119.59,6,212,200,100,99
20122018,08:30:47:000000,119.68,119.69,119.7,119.72,119.75,178,97,100,296,96,119.63,119.62,119.61,119.6,119.59,6,212,200,100,99
20122018,08:30:48:000000,119.68,119.69,119.7,119.72,119.75,178,97,100,335,96,119.63,119.62,119.61,119.6,119.59,16,105,200,100,99
20122018,08:30:49:000000,119.68,119.69,119.7,119.72,119.75,178,97,100,335,96,119.63,119.62,119.61,119.6,119.59,16,105,200,100,99
20122018,08:30:50:000000,119.66,119.68,119.69,119.7,119.72,200,178,97,100,296,119.63,119.62,119.61,119.6,119.59,53,105,200,100,299
20122018,08:30:51:000000,119.66,119.68,119.69,119.7,119.72,200,178,136,100,296,119.62,119.61,119.6,119.59,119.58,105,200,100,299,218
20122018,08:30:52:000000,119.66,119.68,119.69,119.7,119.72,200,178,136,100,296,119.62,119.61,119.6,119.59,119.58,105,200,100,299,218
20122018,08:30:53:000000,119.64,119.66,119.67,119.68,119.69,200,291,42,178,97,119.59,119.58,119.57,119.56,119.55,299,218,100,94,100
20122018,08:30:54:000000,119.64,119.66,119.67,119.68,119.69,200,291,42,178,97,119.59,119.58,119.57,119.56,119.55,299,218,100,94,100
20122018,08:30:55:000000,119.64,119.66,119.67,119.68,119.69,200,291,42,178,97,119.61,119.6,119.59,119.58,119.57,101,200,299,218,200
20122018,08:30:56:000000,119.64,119.66,119.68,119.69,119.7,200,291,178,139,100,119.61,119.6,119.59,119.58,119.57,101,200,299,218,200
20122018,08:30:57:000000,119.64,119.66,119.68,119.69,119.7,200,291,178,139,100,119.61,119.6,119.59,119.58,119.57,101,200,299,218,200
20122018,08:30:58:000000,119.64,119.66,119.68,119.69,119.7,200,291,178,139,100,119.61,119.6,119.59,119.58,119.57,101,200,299,218,200
20122018,08:30:59:000000,119.64,119.66,119.68,119.69,119.7,200,291,178,139,100,119.61,119.6,119.59,119.58,119.57,101,200,299,218,200
20122018,08:31:00:000000,119.64,119.66,119.67,119.68,119.69,200,291,142,178,97,119.61,119.6,119.59,119.58,119.57,101,200,299,218,200
20122018,08:31:01:000000,119.66,119.68,119.69,119.7,119.72,200,178,97,100,296,119.62,119.61,119.6,119.59,119.58,1,100,200,299,218
20122018,08:31:02:000000,119.66,119.68,119.69,119.7,119.72,200,178,97,100,296,119.62,119.61,119.6,119.59,119.58,1,100,200,299,218
20122018,08:31:03:000000,119.66,119.68,119.69,119.7,119.72,200,178,97,100,296,119.62,119.6,119.59,119.58,119.56,101,200,299,218,94
20122018,08:31:04:000000,119.66,119.68,119.69,119.7,119.72,200,178,97,100,296,119.62,119.6,119.59,119.58,119.56,101,200,299,218,94
20122018,08:31:05:000000,119.64,119.65,119.66,119.68,119.69,200,48,294,178,97,119.59,119.58,119.56,119.53,119.52,399,218,94,94,200
20122018,08:31:06:000000,119.64,119.65,119.66,119.68,119.69,200,48,294,178,97,119.59,119.58,119.56,119.53,119.52,399,218,94,94,200
20122018,08:31:07:000000,119.63,119.64,119.66,119.68,119.69,100,248,294,178,97,119.59,119.58,119.57,119.56,119.53,200,118,200,94,94
20122018,08:31:08:000000,119.64,119.66,119.68,119.69,119.7,200,294,178,97,100,119.58,119.57,119.56,119.53,119.52,118,200,94,94,200
20122018,08:31:09:000000,119.64,119.66,119.68,119.69,119.7,200,294,178,97,100,119.58,119.57,119.56,119.53,119.52,118,200,94,94,200
20122018,08:31:10:000000,119.61,119.63,119.64,119.66,119.68,200,94,200,294,178,119.58,119.57,119.56,119.55,119.53,118,200,94,200,94
20122018,08:31:11:000000,119.61,119.63,119.64,119.66,119.68,200,94,200,294,178,119.58,119.57,119.56,119.55,119.53,118,200,94,200,94
20122018,08:31:12:000000,119.61,119.62,119.63,119.64,119.66,200,48,94,200,294,119.56,119.55,119.53,119.52,119.5,94,200,94,500,92
20122018,08:31:13:000000,119.57,119.58,119.59,119.6,119.61,200,100,200,98,207,119.52,119.5,119.47,119.46,119.44,200,92,399,100,96
20122018,08:31:14:000000,119.57,119.58,119.59,119.6,119.61,200,100,200,98,207,119.52,119.5,119.47,119.46,119.44,200,92,399,100,96
20122018,08:31:15:000000,119.57,119.59,119.6,119.61,119.63,200,200,98,207,94,119.53,119.52,119.5,119.47,119.46,98,200,92,399,100
20122018,08:31:16:000000,119.57,119.59,119.6,119.61,119.63,200,200,98,207,94,119.53,119.52,119.5,119.47,119.46,98,200,92,399,100
20122018,08:31:17:000000,119.57,119.59,119.6,119.61,119.63,200,200,98,207,94,119.52,119.5,119.49,119.47,119.46,200,92,200,99,100
