Date,Time,AP1,AP2,AP3,AP4,AP5,AV1,AV2,AV3,AV4,AV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5
20122018,08:30:00:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,29.5,29.38,29.37,100,100,100,100,100
20122018,08:30:01:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,29.5,29.38,29.37,100,100,100,100,100
20122018,08:30:02:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,29.5,29.38,29.37,100,100,100,100,100
20122018,08:30:03:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,29.5,29.38,29.37,100,100,100,100,100
20122018,08:30:04:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,29.5,29.38,29.37,100,100,100,100,100
20122018,08:30:05:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,29.5,29.38,29.37,100,100,100,100,100
20122018,08:30:06:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,29.5,29.38,29.37,100,100,100,100,100
20122018,08:30:07:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,29.5,29.38,29.37,100,100,100,100,100
20122018,08:30:08:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:09:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:10:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:11:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:12:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:13:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:14:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:15:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:16:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:17:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:18:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:19:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:20:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:21:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:22:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:23:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
20122018,08:30:24:000000,30.99,31,32.34,32.47,32.48,100,100,100,100,100,30.8,30.79,30.18,29.5,29.38,100,100,700,100,100
